amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,organisation,start-date,units,slug
5E+2,received,10/00351/FULL-s106-1,10/00351/FULL-tr-s106-1,,2020-06-17,local-authority-eng:GOS,2019-04-30,,/developer-agreement-transaction/local-authority-eng/GOS/10-00351-FULL-tr-s106-1
5E+2,received,10/00351/FULL-s106-1,10/00351/FULL-tr-s106-2,,2020-06-17,local-authority-eng:GOS,2019-08-06,,/developer-agreement-transaction/local-authority-eng/GOS/10-00351-FULL-tr-s106-2
5E+2,received,10/00351/FULL-s106-1,10/00351/FULL-tr-s106-3,,2020-06-17,local-authority-eng:GOS,2019-11-01,,/developer-agreement-transaction/local-authority-eng/GOS/10-00351-FULL-tr-s106-3
5E+2,received,10/00351/FULL-s106-1,10/00351/FULL-tr-s106-4,,2020-06-17,local-authority-eng:GOS,2020-02-03,,/developer-agreement-transaction/local-authority-eng/GOS/10-00351-FULL-tr-s106-4
1.09E+4,secured,10/00351/FULL-s106-1,10/00351/FULL-tr-s106-5,,2020-06-17,local-authority-eng:GOS,2010-11-10,,/developer-agreement-transaction/local-authority-eng/GOS/10-00351-FULL-tr-s106-5
12227.01,received,16/00602/FULL-cil-s,16/00602/FULL-tr-cil-s-1,,2020-06-17,local-authority-eng:GOS,2018-04-05,,/developer-agreement-transaction/local-authority-eng/GOS/16-00602-FULL-tr-cil-s-1
2292.56,received,16/00602/FULL-cil-n,16/00602/FULL-tr-cil-n-1,,2020-06-17,local-authority-eng:GOS,2018-04-05,,/developer-agreement-transaction/local-authority-eng/GOS/16-00602-FULL-tr-cil-n-1
764.19,received,16/00602/FULL-cil-a,16/00602/FULL-tr-cil-a-1,,2020-06-17,local-authority-eng:GOS,2018-04-05,,/developer-agreement-transaction/local-authority-eng/GOS/16-00602-FULL-tr-cil-a-1
2E+3,received,16/00602/FULL-cil-s,16/00602/FULL-tr-cil-s-2,,2020-06-17,local-authority-eng:GOS,2019-07-02,,/developer-agreement-transaction/local-authority-eng/GOS/16-00602-FULL-tr-cil-s-2
375,received,16/00602/FULL-cil-n,16/00602/FULL-tr-cil-n-2,,2020-06-17,local-authority-eng:GOS,2019-07-02,,/developer-agreement-transaction/local-authority-eng/GOS/16-00602-FULL-tr-cil-n-2
125,received,16/00602/FULL-cil-a,16/00602/FULL-tr-cil-a-2,,2020-06-17,local-authority-eng:GOS,2019-07-02,,/developer-agreement-transaction/local-authority-eng/GOS/16-00602-FULL-tr-cil-a-2
2E+3,received,16/00602/FULL-cil-s,16/00602/FULL-tr-cil-s-3,,2020-06-17,local-authority-eng:GOS,2019-08-07,,/developer-agreement-transaction/local-authority-eng/GOS/16-00602-FULL-tr-cil-s-3
375,received,16/00602/FULL-cil-n,16/00602/FULL-tr-cil-n-3,,2020-06-17,local-authority-eng:GOS,2019-08-07,,/developer-agreement-transaction/local-authority-eng/GOS/16-00602-FULL-tr-cil-n-3
125,received,16/00602/FULL-cil-a,16/00602/FULL-tr-cil-a-3,,2020-06-17,local-authority-eng:GOS,2019-08-07,,/developer-agreement-transaction/local-authority-eng/GOS/16-00602-FULL-tr-cil-a-3
2E+3,received,16/00602/FULL-cil-s,16/00602/FULL-tr-cil-s-4,,2020-06-17,local-authority-eng:GOS,2019-09-09,,/developer-agreement-transaction/local-authority-eng/GOS/16-00602-FULL-tr-cil-s-4
375,received,16/00602/FULL-cil-n,16/00602/FULL-tr-cil-n-4,,2020-06-17,local-authority-eng:GOS,2019-09-09,,/developer-agreement-transaction/local-authority-eng/GOS/16-00602-FULL-tr-cil-n-4
125,received,16/00602/FULL-cil-a,16/00602/FULL-tr-cil-a-4,,2020-06-17,local-authority-eng:GOS,2019-09-09,,/developer-agreement-transaction/local-authority-eng/GOS/16-00602-FULL-tr-cil-a-4
