amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,start-date,units,slug
26587,received,P/2012/00795-da,Affordable Housing_P/2012/00795,,2020-05-28,2019-06-17,0,
472281,received,P/2015/01588-da,Affordable Housing_P/2015/01588,,2020-05-28,2019-09-11,0,
1.6E+4,received,P/2018/01046-da,Affordable Housing_P/2018/01046,,2020-05-28,2019-06-19,0,
535226,received,P/2012/00636-da,Affordable Housing_P/2012/00636,,2020-05-28,2020-02-20,0,
0,received,P/2016/00392-da,Affordable Housing_P/2016/00392,,2020-05-28,2020-03-31,24,
0,received,P/2017/00612-da,Affordable Housing_P/2017/00612,,2020-05-28,2020-03-31,1,
0,received,P/2017/01110-da,Affordable Housing_P/2017/01110,,2020-05-28,2020-03-31,8,
0,received,P/2017/01058-da,Affordable Housing_P/2017/01058,,2020-05-28,2020-03-31,2,
0,received,P/2012/01359-da,Affordable Housing_P/2012/01359,,2020-05-28,2020-03-31,8,
0,received,P/2012/01215-da,Affordable Housing_P/2012/01215,,2020-05-28,2020-03-31,9,
0,received,P/2013/00882-da,Affordable Housing_P/2013/00882,,2020-05-28,2020-03-31,7,
0,received,P/2017/01652-da,Affordable Housing_P/2017/01652,,2020-05-28,2020-03-31,4,
0,received,P/2013/00406-da,Affordable Housing_P/2013/00406,,2020-05-28,2020-03-31,4,
0,received,P/2014/01488-da,Affordable Housing_P/2014/01488,,2020-05-28,2020-03-31,4,
31666.82,transferred,P/2011/00546/CEH/PO-da,Affordable Housing_P/2011/00546/CEH/PO,,2020-05-28,2020-01-24,0,
543544.36,transferred,P/2011/01359/CLF/PO-da,Affordable Housing_P/2011/01359/CLF/PO,,2020-05-28,2019-10-08,0,
95910.93,transferred,P/2013/00406-da,Affordable Housing_P/2013/00406,,2020-05-28,2019-10-08,0,
3.308E+5,transferred,P/2014/01490-da,Affordable Housing_P/2014/01490,,2020-05-28,2019-10-08,0,
1.04E+6,secured,P/2013/00432-da,Affordable Housing_P/2013/00432,,2020-05-28,2020-03-31,47,
1373758,secured,P/2012/01359-da,Affordable Housing_P/2012/01359,,2020-05-28,2020-03-31,24,
3.56E+5,secured,P/2014/00548-da,Affordable Housing_P/2014/00548,,2020-05-28,2020-03-31,7,
3E+3,secured,P/2018/00505-da,Affordable Housing_P/2018/00505,,2020-05-28,2020-03-31,0,
0,secured,P/2012/01215-da,Affordable Housing_P/2012/01215,,2020-05-28,2020-03-31,7,
0,secured,P/2012/00636-da,Affordable Housing_P/2012/00636,,2020-05-28,2020-03-31,,
0,secured,P/2012/00795-da,Affordable Housing_P/2012/00795,,2020-05-28,2020-03-31,8,
0,secured,P/2013/00882-da,Affordable Housing_P/2013/00882,,2020-05-28,2020-03-31,121,
0,secured,P/2017/01652-da,Affordable Housing_P/2017/01652,,2020-05-28,2020-03-31,22,
0,secured,P/2015/01497-da,Affordable Housing_P/2015/01497,,2020-05-28,2020-03-31,,
0,secured,P/2018/01046-da,Affordable Housing_P/2018/01046,,2020-05-28,2020-03-31,6,
0,secured,P/2018/00939-da,Affordable Housing_P/2018/00939,,2020-05-28,2020-03-31,24,
0,secured,P/2019/00703-da,Affordable Housing_P/2019/00703,,2020-05-28,2020-03-31,39,
1E+4,transferred,P/2015/01588-da,POS_P/2015/01588,,2020-05-28,2019-06-13,0,
5.275E+5,secured,P/2011/00546/CEH/PO-da,POS_P/2011/00546/CEH/PO,,2020-05-28,2020-03-31,1,
308256.38,secured,P/2012/01359-da,POS_P/2012/01359,,2020-05-28,2020-03-31,0,
6E+4,secured,P/2012/00636-da,POS_P/2012/00636,,2020-05-28,2020-03-31,0,
2.84E+4,secured,P/2014/00039-da,POS_P/2014/00039,,2020-05-28,2020-03-31,0,
2.25E+5,secured,P/2013/01287-da,POS_P/2013/01287,,2020-05-28,2020-03-31,0,
1E+4,secured,P/2013/00591-da,POS_P/2013/00591,,2020-05-28,2020-03-31,0,
2.36E+5,secured,P/2012/01215-da,POS_P/2012/01215,,2020-05-28,2020-03-31,0,
24363.18,allocated,PA/24048/023/PO-da,POS_PA/24048/023/PO,,2020-05-28,2019-04-01,0,
18598.2,allocated,OU/21444/003+4-da,POS_OU/21444/003+4,,2020-05-28,2019-04-01,0,
7653,received,P/2015/01588-da,National Forest_P/2015/01588,,2020-05-28,2019-06-11,0,
4.3E+3,secured,P/2016/00523-da,National Forest_P/2016/00523,,2020-05-28,2020-03-31,0,
5.28E+3,secured,P/2017/00775-da,National Forest_P/2017/00775,,2020-05-28,2020-03-31,0,
8037.32,transferred,PA/01445/010/JPM-da,National Forest_PA/01445/010/JPM,,2020-05-28,2019-04-01,0,
6621.6,transferred,PA/00588/070/PO-da,National Forest_PA/00588/070/PO,,2020-05-28,2019-04-01,0,
171841,received,P/2012/00636-da,Sports & Leisure_P/2012/00636,,2020-05-28,2020-02-20,0,
5275,received,P/2013/01287-da,Sports & Leisure_P/2013/01287,,2020-05-28,2019-06-13,0,
4.9725E+5,received,P/2012/01467-da,Sports & Leisure_P/2012/01467,,2020-05-28,2019-05-14,0,
2.7625E+5,transferred,P/2012/01467-da,Sports & Leisure_P/2012/01467,,2020-05-28,2019-06-24,0,
2.1E+3,transferred,P/2012/01467-da,Sports & Leisure_P/2012/01467,,2020-05-28,2019-06-24,0,
0,received,P/2014/01563-da,Sports & Leisure_P/2014/01563,,2020-05-28,2020-03-31,1,
4E+4,secured,P/2013/00432-da,Sports & Leisure_P/2013/00432,,2020-05-28,2020-03-31,0,
5.275E+4,secured,P/2012/01467-da,Sports & Leisure_P/2012/01467,,2020-05-28,2020-03-31,0,
46766,secured,P/2014/00548-da,Sports & Leisure_P/2014/00548,,2020-05-28,2020-03-31,0,
7446,received,P/2012/00636-da,Waste_P/2012/00636,,2020-05-28,2020-02-05,0,
5637,received,P/2012/00795-da,Waste_P/2012/00795,,2020-05-28,2019-06-14,0,
3399,received,P/2014/00039-da,Waste_P/2014/00039,,2020-05-28,2020-02-12,0,
4125,received,P/2017/01110-da,Waste_P/2017/01110,,2020-05-28,2019-09-17,0,
15787,received,P/2016/01847-da,Waste_P/2016/01847,,2020-05-28,2020-02-18,0,
1382,received,P/2017/00555-da,Waste_P/2017/00555,,2020-05-28,2020-02-14,0,
4.55E+4,received,P/2013/00882-da,Waste_P/2013/00882,,2020-05-28,2019-06-05,0,
7652,secured,P/2012/01215-da,Waste_P/2012/01215,,2020-05-28,2020-03-31,0,
6225,secured,P/2014/01304-da,Waste_P/2014/01304,,2020-05-28,2020-03-31,0,
2.5E+5,received,P/2018/01046-da,Community Facilities_P/2018/01046,,2020-05-28,2019-12-02,0,
5.728E+4,received,P/2012/00636-da,Community Facilities_P/2012/00636,,2020-05-28,2020-02-20,0,
0,received,P/2018/01046-da,Bus Service_P/2018/01046,,2020-02-24,2019-05-22,1,
0,secured,P/2013/00406-da,Bus Service_P/2013/00406,,2020-05-28,2020-03-31,200,
0,secured,P/2013/00432-da,Bus Service_P/2013/00432,,2020-05-28,2020-03-31,1,
0,secured,P/2012/01359-da,Bus Service_P/2012/01359,,2020-05-28,2020-03-31,1,
0,secured,P/2012/01215-da,Bus Service_P/2012/01215,,2020-05-28,2020-03-31,1,
0,secured,P/2013/00882-da,Bus Service_P/2013/00882,,2020-05-28,2020-03-31,1,
1.15E+3,secured,P/2018/00362-da,Cannock Chase_P/2018/00362,,2021-02-15,2020-03-31,0,
0,secured,P/2016/01847-da,Other_P/2016/01847,,2020-05-28,2020-03-31,2,
